node_id,latitude,longitude,junction_type,source
3320941671,6.8055813,79.9260545,B-Other,B
3320941694,6.8092286,79.9208621,B-Other,B
3498436506,6.8093679,79.920636,B-B,B
3320941715,6.8057376,79.9259745,B-Other,B
5344838927,6.8055261,79.9263036,B-B,B
3320941718,6.8054803,79.9263627,B-B,B
3498455027,6.805196,79.9267326,B-Other,B
5344838936,6.8053945,79.9263328,B-B,B
3320941892,6.8002257,79.93851,B-Other,B
3498458035,6.7976252,79.9405411,B-B,B
3336273931,8.0407598,80.5965709,B-Other,B
3518425516,8.0408481,80.5969499,B-Other,B
5519615353,8.0581774,80.5523759,B-B,B
5559025764,7.0019634,79.9489817,B-Other,B
4817240135,6.9079731,79.9293338,B-B,B
3354710540,6.9021551,79.9193597,B-B,B
3364860615,5.9492491,80.5437382,B-Other,B
3594319501,5.9488214,80.5470724,B-B,B
3366095891,5.9432145,80.5494955,B-Other,B
3377554171,6.1526365,81.1271658,B-Other,B
3377554125,6.1548332,81.1271556,B-Other,B
3396222638,6.1590975,81.1271998,B-Other,B
3377598520,6.1414392,81.0745342,B-Other,B
3669636229,6.1541242,81.0680346,B-Other,B
3377606367,6.1379361,81.076178,B-Other,B
6247562215,6.1311968,81.0789876,B-Other,B
3377606381,6.1351252,81.0772294,B-Other,B
3377795308,6.1945429,81.1282031,B-Other,B
3377919347,6.2301375,81.1299325,B-Other,B
3377799428,6.3368045,81.0433016,B-Other,B
3378015268,6.3404022,81.0415102,B-Other,B
3377799429,6.3368789,81.0433806,B-Other,B
3377803375,6.3300075,81.050807,B-Other,B
3377803385,6.3265116,81.0544365,B-Other,B
3377803376,6.3299602,81.0507614,B-Other,B
3377803384,6.3264222,81.0543753,B-Other,B
3726222386,6.3259684,81.0557667,B-Other,B
3377837110,6.2866016,81.0874775,B-Other,B
3377837114,6.2866721,81.0873908,B-Other,B
3377837112,6.2866525,81.0875299,B-Other,B
3377837113,6.2867395,81.0874387,B-Other,B
3726222385,6.3258764,81.0557225,B-Other,B
3721669276,6.3527302,81.0393478,B-Other,B
3378015269,6.3404484,81.041572,B-Other,B
3403175009,6.9557632,79.8885591,B-Other,B
4457419930,6.9499296,79.916941,B-Other,B
4152530093,6.9557395,79.8881385,B-Other,B
4152530101,6.9557957,79.8882537,B-Other,B
12335959161,5.9481206,80.5351451,B-Other,B
5229028214,7.4333288,80.5607851,B-B,B
3856554872,7.3513284,80.6825405,B-B,B
5216483996,6.971889,79.8862133,B-Other,B
3432403049,7.2975455,79.8821033,B-Other,B
3432403079,7.2975109,79.8822185,B-Other,B
3477921642,7.0046511,79.9542535,B-Other,B
3477921644,7.0048362,79.9542768,B-Other,B
6543091755,6.1066702,80.3351698,B-Other,B
3498436079,6.8088349,79.9206009,B-Other,B
3570836873,6.8021846,79.9223658,B-Other,B
3498436083,6.8093898,79.9205405,B-Other,B
7062446559,6.8094682,79.9205388,B-Other,B
3498436089,6.8091326,79.9206307,B-Other,B
3498446842,6.8051279,79.926238,B-Other,B
13437079224,6.8050885,79.9262098,B-Other,B
3498446844,6.8058102,79.9264515,B-Other,B
3498446858,6.8057944,79.9264097,B-Other,B
3498455046,6.8014868,79.9348122,B-Other,B
3498455031,6.8052202,79.9265793,B-Other,B
3498455036,6.8013414,79.9350824,B-B,B
5968356282,6.8012454,79.9352595,B-Other,B
5968393657,6.8012845,79.9350184,B-B,B
3498455040,6.801146,79.9348839,B-Other,B
5968326761,6.8013731,79.9350224,B-B,B
3498455050,6.8014403,79.9346984,B-Other,B
3498458036,6.7974894,79.9406012,B-B,B
3498479737,6.7956036,79.9408736,B-B,B
3498479747,6.7955643,79.9407432,B-B,B
3498479748,6.7954851,79.940825,B-B,B
3498479741,6.7957895,79.9406521,B-Other,B
5968372698,6.795679,79.9407828,B-B,B
3498479760,6.7953199,79.9407558,B-Other,B
3498479749,6.7953379,79.9410034,B-Other,B
3502161784,6.8950338,79.9243388,B-Other,B
3502161785,6.8948657,79.9245512,B-Other,B
3502162896,6.8951882,79.9240753,B-Other,B
3504273406,6.8528965,79.8940761,B-Other,B
6260384161,6.8562128,79.8906521,B-Other,B
3518425530,8.0407083,80.5970156,B-Other,B
3521419922,6.9414194,79.9861489,B-Other,B
3603503554,6.9391803,79.9732649,B-Other,B
5064507311,6.9415284,79.9871899,B-Other,B
5064507314,6.9416123,79.987187,B-Other,B
3521510211,6.8482525,79.8976944,B-B,B
5373596576,6.8483152,79.8976961,B-B,B
4860202575,6.8482747,79.8977809,B-B,B
3521592487,6.8410728,79.9017308,B-B,B
3902482154,6.8411502,79.9019697,B-Other,B
3521595117,6.8409881,79.9017758,B-B,B
3902482146,6.8409344,79.901678,B-B,B
3902482140,6.8408292,79.9018691,B-Other,B
3521595128,6.8410261,79.9016342,B-B,B
3902482859,6.8412592,79.9015284,B-Other,B
3522137034,7.9025924,80.5235159,B-Other,B
3522137035,7.902558,80.5235098,B-Other,B
3522179237,7.8102179,80.568685,B-Other,B
3548926813,7.2626543,81.0804522,B-B,B
5059861884,7.2168267,81.0609333,B-B,B
3549382890,7.1547158,80.0579832,B-Other,B
3721669277,6.3527606,81.0394201,B-Other,B
3570607534,6.3567362,81.0381126,B-Other,B
6250524007,6.3595723,81.0343245,B-Other,B
3570836884,6.8018398,79.9227394,B-B,B
3570836893,6.8017895,79.922685,B-B,B
3570836895,6.8017883,79.9227911,B-B,B
13437079225,6.8051206,79.9261636,B-Other,B
3570836887,6.8020012,79.9224872,B-Other,B
4897028998,6.9765694,80.7645145,B-B,B
3799781562,7.0909717,79.9995131,B-Other,B
3594038164,6.1170142,81.0825982,B-Other,B
12856077384,5.9516309,80.5460738,B-Other,B
3597945583,7.8421207,80.3969434,B-Other,B
3600553558,7.0029676,79.9564578,B-Other,B
3600553580,7.0025255,79.9601243,B-Other,B
6525442932,7.0025254,79.9601847,B-Other,B
4785723989,7.0109455,79.9665439,B-Other,B
3600567895,7.0044874,79.9633902,B-Other,B
3600582931,7.0024223,79.960184,B-Other,B
3600567908,7.0046096,79.9634914,B-Other,B
3600582963,7.0024237,79.9601238,B-Other,B
3600585997,7.0046781,79.9634061,B-Other,B
4785723992,7.0106877,79.9664091,B-Other,B
3600585998,7.0045508,79.9633046,B-Other,B
3606358347,7.0030791,79.9566221,B-Other,B
5369721906,7.3487984,80.6799835,B-B,B
6488496079,7.7123982,81.7100535,B-Other,B
4086665691,7.4688465,80.0264923,B-Other,B
8771443575,7.3286074,80.0244009,B-Other,B
4191945360,6.2912644,80.6378534,B-Other,B
4191945367,6.2914441,80.6379307,B-Other,B
6249854577,6.170053,80.8961964,B-Other,B
3699495002,6.1111,80.9318408,B-Other,B
6509645610,7.7762737,79.9492556,B-B,B
6247858279,6.1691428,81.0624742,B-Other,B
3669636248,6.1720197,81.0616361,B-Other,B
6247858276,6.1733191,81.0612557,B-Other,B
3669636249,6.1744054,81.0609421,B-Other,B
3669636250,6.1759853,81.0604817,B-Other,B
3669636253,6.1794143,81.0594789,B-Other,B
3669636256,6.184311,81.0580558,B-Other,B
3670240826,6.1979566,81.0511035,B-Other,B
6247997833,6.2013572,81.0496807,B-Other,B
3799780752,7.0912125,79.9993981,B-Other,B
3683997237,6.3808003,81.3147489,B-Other,B
3683997240,6.3807979,81.3149421,B-Other,B
3699456789,6.1698232,80.8963537,B-B,B
13714592717,6.1699083,80.8963894,B-B,B
3699457178,6.1669636,80.8975792,B-B,B
6249854582,6.1680718,80.8970014,B-B,B
3699495000,6.1110883,80.9317782,B-Other,B
3702142140,6.8755412,79.8921264,B-Other,B
3702142150,6.8754437,79.8922629,B-B,B
3702142128,6.8757541,79.8922913,B-Other,B
7795511709,6.2897332,81.085061,B-Other,B
3731372276,6.8913049,79.9288612,B-B,B
11141684447,6.8769037,79.9352486,B-Other,B
7043449110,6.891091,79.9284661,B-Other,B
3738834813,7.2729442,80.6041664,B-Other,B
3738834815,7.2726808,80.6038781,B-Other,B
3745318479,7.0816346,80.4689829,B-B,B
5153486356,7.1041671,80.3366364,B-B,B
3751644923,6.1431722,80.8122304,B-Other,B
3751644927,6.1432014,80.8123036,B-Other,B
3751644929,6.1432235,80.8121813,B-Other,B
5159312518,7.3218881,80.3920225,B-Other,B
3778393945,6.1474991,80.7633662,B-Other,B
7183361984,6.1474103,80.7632291,B-Other,B
3778393947,6.1475187,80.7634903,B-Other,B
7183361983,6.1474055,80.76351,B-Other,B
3778393954,6.1476211,80.763323,B-Other,B
3799780751,7.0911246,79.9993174,B-Other,B
5526678658,9.6846302,80.0077307,B-Other,B
10259347340,6.8769522,79.9268354,B-Other,B
3805786089,7.3080314,80.6374913,B-Other,B
6130189220,7.3080513,80.6374594,B-Other,B
3808444503,7.0048436,79.9541665,B-Other,B
3810927781,7.2766995,80.5966242,B-Other,B
3817590031,7.2503656,80.3680707,B-Other,B
4929241611,7.2505295,80.3680737,B-Other,B
4929241873,7.2482098,80.3510468,B-Other,B
4809569430,7.3219829,80.9907723,B-Other,B
3822724027,7.3216564,80.9895747,B-Other,B
3822728700,7.3222204,80.9895553,B-Other,B
6518088305,6.8763205,79.9353093,B-B,B
3861760731,6.9031994,79.9115238,B-Other,B
5523265726,6.9032296,79.9114498,B-Other,B
3883403623,7.0785521,80.1443137,B-Other,B
3883403617,7.0785029,80.1443933,B-Other,B
3883403620,7.0785127,80.1444351,B-Other,B
3883403628,7.0786221,80.144479,B-Other,B
3883403631,7.0786725,80.1443546,B-Other,B
3887468599,6.8768097,79.927949,B-Other,B
3896044935,6.9095682,79.8963686,B-Other,B
3898518037,8.5025178,81.1803265,B-Other,B
3898518038,8.5025407,81.1804804,B-Other,B
7702374761,8.5025483,81.1808257,B-Other,B
3902482137,6.8407383,79.9017918,B-Other,B
13236794134,6.8329768,79.9063894,B-Other,B
3902482142,6.8408494,79.901515,B-Other,B
9075842383,6.8470851,79.8987747,B-Other,B
3902482860,6.8413061,79.9016279,B-Other,B
3927772244,7.0730632,80.269224,B-Other,B
3960797188,6.0285318,80.7946801,B-Other,B
3999196805,7.2935903,80.6334596,B-Other,B
13613018164,7.2934925,80.6334385,B-Other,B
6509196204,7.3067825,80.6343916,B-Other,B
5968325062,6.8011768,79.9348172,B-Other,B
4796114651,7.2583839,80.5994001,B-Other,B
4032560674,7.2583806,80.5995913,B-Other,B
7704618048,7.470106,80.0440381,B-B,B
4087054262,7.1985559,79.8542363,B-Other,B
4096475956,7.2726236,80.6038364,B-Other,B
4096475975,7.2726922,80.6037355,B-Other,B
5120237612,7.275305,80.5997131,B-Other,B
4096475976,7.2727484,80.6037767,B-Other,B
4099698756,8.3344885,80.3928551,B-Other,B
6545320371,8.3345808,80.3929268,B-Other,B
13574349086,8.3387575,80.3952937,B-Other,B
6545320374,8.3346484,80.3931038,B-Other,B
4099888824,8.3446826,80.391769,B-Other,B
13587389094,8.3452182,80.3931745,B-Other,B
4137314875,9.5040114,80.2123456,B-Other,B
4137353401,8.3213036,80.38194,B-Other,B
4137378464,8.5541752,80.4858687,B-Other,B
1981159930,8.553811,80.4857977,B-Other,B
5156577884,8.6407611,80.6698054,B-Other,B
13686682344,8.0302595,79.8285548,B-Other,B
13686682345,8.0303483,79.8286574,B-Other,B
1785705927,7.1597732,80.5650321,B-Other,B
4142435852,7.1597084,80.5650222,B-Other,B
13763979653,8.0580022,80.5519829,B-Other,B
4177584099,7.2812723,80.6664844,B-Other,B
4191945359,6.2912576,80.6379726,B-Other,B
4191945364,6.2913926,80.6378284,B-Other,B
11722038127,7.1653822,79.883063,B-Other,B
4202427022,7.1538918,80.0618641,B-Other,B
4202427008,7.1537198,80.0615896,B-Other,B
5237467113,6.9082593,79.9293821,B-Other,B
4231244457,7.1013847,79.9103426,B-Other,B
6511426673,7.6058446,80.1251029,B-Other,B
4365280300,6.8304848,80.9887522,B-Other,B
5225962174,7.6567349,80.3695323,B-Other,B
4446651425,7.1680156,79.8831166,B-Other,B
4446651431,7.1679144,79.882953,B-B,B
4446651438,7.1676099,79.8829343,B-Other,B
8977212317,7.1675731,79.8829369,B-Other,B
5904560300,7.1678379,79.8828417,B-Other,B
5352135773,6.9500631,79.9172171,B-Other,B
4863310705,7.5694704,81.7342668,B-Other,B
11959575863,6.8753657,79.9008809,B-B,B
4724027713,6.7646532,80.0116909,B-Other,B
4996622455,6.7685211,80.0063131,B-Other,B
4838908981,6.8938181,79.9355679,B-Other,B
4781591822,7.2131676,80.7549023,B-Other,B
4781591824,7.2130208,80.7549628,B-Other,B
4781591830,7.213078,80.7547843,B-Other,B
4781591826,7.2130785,80.7549784,B-Other,B
7087827239,7.066595,80.0124815,B-Other,B
4796114654,7.2585995,80.5994329,B-Other,B
4807150331,7.8776952,80.0109988,B-Other,B
4807150335,7.8775856,80.0108757,B-Other,B
4815668572,7.0925812,80.7985635,B-Other,B
5239209328,6.9079971,79.9293874,B-B,B
6513598494,6.8938174,79.9352954,B-Other,B
9075842392,6.8482118,79.8977585,B-B,B
9075842367,6.8481634,79.897943,B-Other,B
4863310661,7.5694967,81.7343357,B-Other,B
6294540724,6.5228251,80.1142668,B-Other,B
4929241607,7.250532,80.3681157,B-Other,B
4929241872,7.2481885,80.3509824,B-Other,B
4929241931,7.2479872,80.3429624,B-Other,B
4955880071,6.829077,79.9655945,B-Other,B
7062428087,6.769943,80.0051059,B-Other,B
5003691358,6.6520699,80.1772544,B-Other,B
5488528980,6.9228193,79.9133885,B-Other,B
5037942619,6.8772254,79.8694873,B-Other,B
5051771522,7.7827179,80.3979414,B-Other,B
5225962163,7.6569624,80.3693543,B-Other,B
11854288255,7.2623106,81.0804624,B-Other,B
5064507312,6.9415531,79.9872682,B-Other,B
5064507313,6.9416389,79.9872681,B-Other,B
9406760943,7.7775024,80.8183894,B-Other,B
10065277044,7.3365241,80.9833087,B-Other,B
5122515798,6.9430587,79.9235748,B-Other,B
5157977021,6.89482,79.9245069,B-Other,B
5157977022,6.8949627,79.9242962,B-Other,B
6719733698,6.8950724,79.9241084,B-Other,B
2083191826,6.9231506,79.9133467,B-Other,B
5320624320,7.3219334,80.3918096,B-Other,B
5234940060,6.0323856,80.2171965,B-Other,B
1931362427,6.0349193,80.2170192,B-Other,B
6538031537,9.09129,80.898295,B-Other,B
5222832213,6.6505776,80.1776755,B-Other,B
5222832369,6.6496717,80.1779326,B-Other,B
5222832359,6.6494865,80.1779718,B-Other,B
5222832229,6.6462534,80.1794983,B-Other,B
5222832230,6.6452347,80.1798171,B-Other,B
5222832354,6.6495997,80.1778759,B-Other,B
5222832362,6.6495357,80.1780567,B-Other,B
5222832381,6.6511284,80.1775615,B-Other,B
5225962171,7.6566698,80.3694319,B-Other,B
5225962180,7.6568336,80.3694539,B-Other,B
5225962167,7.656754,80.3693666,B-Other,B
5225962166,7.6567798,80.3693718,B-Other,B
5225962170,7.6566817,80.3694037,B-Other,B
5225962178,7.6568135,80.3695047,B-Other,B
5231755680,8.0689283,80.5365479,B-Other,B
13763979671,8.0583961,80.5520096,B-Other,B
6509057831,6.5309386,80.3965186,B-Other,B
5233980319,6.5310882,80.3964438,B-B,B
5237375206,6.5311602,80.3965173,B-B,B
5234967326,6.0350591,80.2169837,B-Other,B
5237438509,6.5309316,80.3965437,B-Other,B
5237448594,6.9079198,79.9299131,B-Other,B
5239209325,6.9079957,79.9296798,B-Other,B
5245953969,7.4868006,80.3666194,B-Other,B
5252242482,6.8981291,80.5926614,B-Other,B
5276999751,6.9001951,79.9269436,B-Other,B
6513598493,6.8939211,79.9351764,B-Other,B
6513598565,6.8938003,79.9351582,B-Other,B
5276999774,6.8934723,79.9352896,B-Other,B
5277143310,6.8909506,79.9288613,B-Other,B
5316437632,7.0665154,80.0124713,B-Other,B
5320624355,7.3232441,80.3895438,B-Other,B
5320624390,7.322061,80.3917527,B-Other,B
5320624375,7.321975,80.3917115,B-Other,B
5320624385,7.3220195,80.391845,B-Other,B
5344838908,6.8015788,79.9352489,B-Other,B
5344838932,6.8051583,79.9261832,B-Other,B
5968395016,6.8054346,79.9262741,B-B,B
5352135783,6.9500959,79.917318,B-Other,B
5352135772,6.9500869,79.9172362,B-Other,B
5373596579,6.8485485,79.8976824,B-Other,B
13664742979,7.2906872,80.6473842,B-Other,B
5488683288,6.9097027,79.8958633,B-Other,B
5507303478,7.2513247,80.4501455,B-Other,B
5559025441,7.004666,79.9541507,B-Other,B
6547922794,7.4287519,80.2144879,B-Other,B
5968393656,6.8013173,79.9349596,B-B,B
5968372641,6.7959709,79.9408046,B-Other,B
5968372655,6.797445,79.9405094,B-Other,B
5968372656,6.7975852,79.9404497,B-Other,B
5968372677,6.8001287,79.9384573,B-Other,B
5968372697,6.8011312,79.9352557,B-Other,B
6052926623,8.8307879,80.7729611,B-Other,B
6052926629,8.8308557,80.7728845,B-Other,B
8865864663,7.308109,80.6373262,B-Other,B
10219043288,6.9096145,79.8957975,B-Other,B
6247562214,6.1311689,81.0789221,B-Other,B
6247562238,6.1264634,81.0804811,B-Other,B
6247562240,6.125513,81.0807445,B-Other,B
6247562239,6.1264481,81.0804133,B-Other,B
6247562243,6.1243417,81.0810788,B-Other,B
6247562241,6.1254954,81.0806684,B-Other,B
6247562246,6.121813,81.0817635,B-Other,B
6247562244,6.1243226,81.0809871,B-Other,B
6247858271,6.1843368,81.0581495,B-Other,B
6247858275,6.1760116,81.0605621,B-Other,B
6247858278,6.172045,81.0617222,B-Other,B
6247858280,6.1691675,81.0625645,B-Other,B
6247997831,6.2094231,81.0461535,B-Other,B
6247997836,6.2013801,81.0497475,B-Other,B
6247997832,6.2093819,81.0460832,B-Other,B
6252393552,6.2281991,81.0424124,B-Other,B
6247997837,6.1979841,81.0511698,B-Other,B
6249854572,6.1698424,80.8964305,B-B,B
6249854581,6.1680966,80.8970632,B-B,B
6249855389,6.1669702,80.8977654,B-Other,B
5252242493,6.8980195,80.5926785,B-Other,B
6250326150,8.8367519,79.9688521,B-Other,B
6250326149,8.8370335,79.968952,B-Other,B
6250339117,8.7964948,79.9315591,B-Other,B
6250326151,8.8369425,79.9690896,B-Other,B
6250326159,8.8372114,79.9690305,B-Other,B
6250326164,8.8370759,79.9689432,B-Other,B
6252038712,6.3015053,81.0033201,B-Other,B
13716601407,6.3178912,80.9982707,B-Other,B
6252038693,6.2682775,81.0180187,B-Other,B
6252038706,6.2799385,81.0032218,B-Other,B
6252038705,6.279999,81.0032696,B-Other,B
6252038760,6.2683133,81.0180888,B-Other,B
6252038708,6.2806973,81.0022921,B-Other,B
6252038707,6.280755,81.0023708,B-Other,B
6252038714,6.3000332,81.0032335,B-Other,B
6252393581,6.2607154,81.022473,B-Other,B
6252393551,6.2282089,81.0424937,B-Other,B
6252393563,6.2468409,81.0368541,B-Other,B
6252393562,6.2469024,81.0369101,B-Other,B
6252393569,6.2491605,81.0344106,B-Other,B
6252393568,6.2492217,81.034468,B-Other,B
6252393580,6.2584918,81.0246547,B-Other,B
6252393579,6.2585411,81.0247139,B-Other,B
6252393582,6.2606613,81.022409,B-Other,B
6260211180,6.8816294,79.8697685,B-Other,B
9565070865,6.8773201,79.8695291,B-Other,B
6260384173,6.856472,79.8909768,B-Other,B
