junction_id,latitude,longitude,reachable_nodes,average_distance,maximum_distance
256664026,6.856541,79.890711,4117,122915.55,391337.4
6260384168,6.856477,79.89095,4117,122928.17,391357.76
1737485408,6.856552,79.890646,4117,122916.82,391337.42
9075842358,6.856257,79.890717,4117,122932.7,391368.81
256823957,6.902215,79.919573,4117,121433.77,388727.52
6719733717,6.902066,79.919635,4117,121444.07,388745.33
3404831124,6.902183,79.919483,4117,121435.7,388717.05
3354710539,6.902286,79.919711,4117,121431.73,388744.76
257673145,6.797293,79.93076,4117,125271.66,399745.7
3498479745,6.79597,79.94038,4117,125067.74,400666.95
3570836882,6.801321,79.923129,4117,125358.44,398761.47
4019531402,6.800999,79.934714,4117,124941.99,399665.44
257673162,6.801726,79.935469,4117,124904.1,399689.89
665006657,6.803896,79.940476,4117,124778.68,400297.95
3498455049,6.801444,79.935193,4117,124902.16,399661.44
257926316,7.286977,80.647817,4117,136219.37,346035.51
1909546344,7.202615,80.663173,4117,150038.5,365458.49
4004597816,7.291249,80.637419,4117,135023.05,344482.49
257927955,7.306365,80.633967,4117,135408.53,342643.37
13671920564,7.299393,80.635291,4117,135145.3,343468.84
2019733995,7.940094,80.727619,4117,163927.53,323296.23
258057404,7.858589,80.680787,4117,156097.29,314049.14
1836349438,7.409676,80.60892,4117,142988.49,328609.28
2093606557,7.548799,80.621806,4117,147802.75,315477.5
568948837,7.707673,80.771541,4117,170728.69,318594.96
896199017,7.940022,80.727422,4117,163912.86,323273.17
5075907972,7.777561,80.81842,4117,166840.2,314672.99
4082665360,8.041531,80.953288,4117,189041.42,349691.73
3237453500,7.214856,80.571039,4117,136424.33,358173.98
445265132,6.604548,80.091996,4117,139075.11,434114.05
1500297617,5.982127,80.446796,4117,197434.99,528722.62
1181395693,5.978189,80.430409,4117,196249.78,526521.04
268931537,6.877261,79.900395,4117,122773.95,390341.84
618771321,6.876314,79.900711,4117,122744.11,390341.61
275517837,6.90332,79.905356,4117,121550.07,387259.13
618771188,6.884244,79.901955,4117,122467.55,389462.92
6947814999,6.904918,79.905393,4117,121498.65,387078.74
4580840142,6.874744,79.900556,4117,122809.93,390509.7
291672423,6.809368,79.938962,4117,125090.32,399872.83
6519129900,6.84424,79.925909,4117,123656.6,394777.38
3803845891,6.805943,79.926484,4117,125158.97,398581.08
310845638,5.953168,80.545992,4117,203243.37,542444.1
1428668275,5.951633,80.546152,4117,203164.53,542273.38
312920246,7.207084,79.840834,4117,126950.56,349426.89
313236260,7.207752,79.837913,4117,127135.72,349451.26
1683204299,7.198705,79.853936,4117,126450.19,350253.83
1147858863,7.208348,79.834808,4117,127408.75,349811.63
313236265,7.210595,79.83938,4117,127013.34,349005.33
639204465,7.211445,79.841284,4117,127052.95,349030.54
313236286,7.210998,79.838568,4117,127085.22,348905.15
4087081915,7.219309,79.844959,4117,126885.72,347739.95
313403915,7.079613,79.85958,4117,123356.16,366384.99
2506020933,7.08229,79.868182,4117,123108.62,365350.51
403899928,7.093991,79.847143,4117,125214.54,364328.83
323506737,6.905668,79.963188,4117,120236.33,391953.34
2620521080,6.904015,79.955185,4117,120318.8,392597.33
617228235,6.909658,79.971155,4117,120274.01,392883.7
619742609,6.874678,79.993299,4117,121910.21,398278.1
674898973,7.153073,80.063667,4117,116954.58,375397.49
617970086,7.125519,80.110804,4117,116839.82,381429.61
324982229,7.002172,79.950907,4117,118791.18,377214.25
1840750859,7.002125,79.951076,4117,118779.73,377233.72
3345071366,7.002149,79.951412,4117,118774.12,377270.95
1645495724,7.002019,79.949284,4117,118938.76,377033.32
324985529,6.977196,79.930305,4117,119526.92,379600.89
621139685,6.977932,79.927654,4117,119354.26,379296.25
637858647,6.975097,79.949457,4117,120793.95,381920.21
3816390091,6.977986,79.927687,4117,119353.02,379319.59
1438094658,6.98478,79.903111,4117,120645.28,376212.64
635895564,6.953134,79.918978,4117,121633.69,382458.23
376763058,5.957544,80.545616,4117,203468.34,542933.65
376774340,6.05282,80.62985,4117,201004.39,552572.03
3634858930,6.068384,80.629216,4117,199497.08,551416.38
1932027734,6.047798,80.628863,4117,201500.42,553162.08
5041222126,6.068783,80.601346,4117,201138.07,548239.11
388268117,6.095598,80.744758,4117,197758.33,550321.44
2605754835,6.085752,80.743244,4117,198639.45,551463.02
4761516411,6.121292,80.744851,4117,195405.43,547339.77
403816151,6.94416,79.878967,4117,120076.17,380477.57
403816178,6.937235,79.89622,4117,120887.49,382640.06
2131864627,6.93285,79.893716,4117,121041.96,383233.9
2760582892,6.936247,79.915269,4117,121420.1,384762.64
403816197,6.935938,79.925652,4117,121141.6,385824.77
13653585411,6.942792,79.923561,4117,121577.3,385018.54
403816206,6.937395,79.94521,4117,120844.93,387611.15
2760582907,6.93592,79.916367,4117,121367.59,384889.46
3166543427,6.921978,79.926812,4117,121439.27,387427.53
403841727,6.909042,80.053903,4117,120398.06,398237.13
1778845290,6.865003,80.023328,4117,121627.86,402017.71
403841840,6.942284,79.961811,4117,121200.2,386632.86
403841847,6.944084,79.954897,4117,121580.11,385841.93
3603503553,6.938872,79.971152,4117,120522.1,387740.37
621150239,6.967339,79.961185,4117,121407.38,383601.47
3491079318,6.968955,79.954432,4117,121248.29,382835.42
403874494,6.946159,79.912906,4117,121843.47,383768.9
2760582902,6.93668,79.915387,4117,121446.28,384812.25
403874820,6.931134,79.883108,4117,120634.68,382417.07
4678368699,6.930973,79.882706,4117,120620.63,382393.34
2131864639,6.932654,79.89044,4117,121009.42,383260.75
403875117,6.909304,79.898421,4117,121385.04,386189.09
635166180,6.90962,79.89707,4117,121338.47,385990.61
