node_id,latitude,longitude,street_count,n_b_roads,b_roads,junction_type,is_b_b_junction,is_b_any_junction
11959575860,6.875439,79.900973,4,1,B291,B-Other,False,True
1977816707,7.432681,80.212907,3,1,B247,B-Other,False,True
6947814999,6.904918,79.905393,3,1,B120,B-Other,False,True
619742791,6.888113,79.994935,3,1,B174,B-Other,False,True
619742609,6.874678,79.993299,2,2,B240;B451,B-B,True,False
324918527,6.86494,79.995866,2,2,B451;B452,B-B,True,False
658424634,7.033618,80.027148,3,2,B161;B214,B-B,True,True
619906809,7.03079,80.028842,3,2,B214;B472,B-B,True,True
621950451,6.861589,79.866144,3,2,B11;B560,B-B,True,True
621150239,6.967339,79.961185,2,2,B254;B632,B-B,True,False
3600449270,6.970641,79.971643,3,1,B632,B-Other,False,True
403841847,6.944084,79.954897,2,2,B214;B362,B-B,True,False
1241635040,6.956543,79.953191,2,2,B221;B362,B-B,True,False
1912538681,6.923548,79.913646,3,1,B469,B-Other,False,True
621909031,6.839802,79.884742,2,2,B389;B547,B-B,True,False
3206095333,7.063978,80.011199,3,1,B570,B-Other,False,True
4585299247,7.064004,80.011123,3,1,B570,B-Other,False,True
3770168315,7.090838,79.991998,3,1,B570,B-Other,False,True
843506679,7.092538,79.995463,3,1,B219,B-Other,False,True
3681424087,7.091253,79.999227,3,1,B219,B-Other,False,True
637009373,7.093252,79.993765,2,2,B50;B569,B-B,True,False
4068148608,7.09217,79.993046,3,1,B569,B-Other,False,True
3064234204,7.370574,80.527474,3,1,B122,B-Other,False,True
617806943,7.488935,80.362344,2,2,B051;B247,B-B,True,False
4548513547,7.490351,80.365072,3,1,B051,B-Other,False,True
250734844,6.848623,79.89769,4,2,B134;B316,B-B,True,True
638936208,7.125603,79.981389,3,1,B288,B-Other,False,True
637859907,6.986465,79.973905,2,2,B169;B262,B-B,True,False
970090967,6.981376,79.968271,2,2,B262;B401,B-B,True,False
2021648880,6.994514,80.015268,2,2,B214;B262,B-B,True,False
638923097,7.169005,79.948482,3,1,B208,B-Other,False,True
638925117,7.169072,79.947698,3,1,B208,B-Other,False,True
638927834,7.168787,79.947929,3,1,B111,B-Other,False,True
638927836,7.169059,79.948001,3,1,B208,B-Other,False,True
638925131,7.170123,79.945433,2,2,B208;B289,B-B,True,False
638935032,7.126291,79.981095,3,1,B288,B-Other,False,True
638936216,7.126,79.981284,4,2,B288;B430,B-B,True,True
638936200,7.125887,79.980979,3,1,B400,B-Other,False,True
638936201,7.125974,79.981194,3,2,B288;B400,B-B,True,True
638936206,7.125863,79.981321,3,2,B288;B430,B-B,True,True
638936212,7.1259,79.981645,3,1,B430,B-Other,False,True
638936220,7.125846,79.981218,3,2,B288;B400,B-B,True,True
667537356,7.124566,79.975183,2,2,B225;B400,B-B,True,False
667536068,7.124479,79.974821,2,2,B225;B400,B-B,True,False
638973609,7.123496,79.924529,3,2,B111;B400,B-B,True,True
638935065,7.139064,79.976365,3,2,B225;B288,B-B,True,True
4231244463,7.101691,79.910307,3,1,B111,B-Other,False,True
2155579750,7.131182,79.876262,3,1,B400,B-Other,False,True
638976353,7.12169,79.920947,3,1,B400,B-Other,False,True
638976365,7.121522,79.921469,2,2,B111;B400,B-B,True,False
638976368,7.121378,79.921346,2,2,B111;B400,B-B,True,False
639129515,7.230737,79.909793,2,2,B289;B324,B-B,True,False
4316862204,7.194234,79.881345,2,2,B323;B597,B-B,True,False
