u,v,matched_ref,route_no,road_name,highway,oneway,maxspeed,lanes,name,segment_length_m
2078968896,6495360827,B46,B046,Bar Road - Batticaloa,primary,False,60,2,Bar Road,242.95505864617795
2079537908,1796922853,B163,B163,Ingiriya - Halwatura,primary,False,50,2,Ingiriya-Halwatura Road,3361.851485184107
2079537908,1796922874,B68,B068,Ingiriya - Halwatura - Egaloya,primary,False,50,2,Ingiriya-Halwatura-Egal Oya Road,1591.7733381509502
2079537908,1796923216,B68,B068,Ingiriya - Halwatura - Egaloya,primary,False,50,2,Ingiriya-Halwatura-Egal Oya Road,1375.396301330962
2079537942,1697582615,B285,B285,Meepe - Ingiriya,primary,False,50,2,Meepe-Ingiriya Road,11516.910929088406
2081198513,1812177148,B284,B284,Meddewatte - Kekanadure - Yatiyana,primary,False,60,2,Meddewatte-Kekanadure-Yatiyana Road,71.96968062170124
2081198513,2081198517,B284,B284,Meddewatte - Kekanadure - Yatiyana,primary,False,60,2,Meddewatte-Kekanadure-Yatiyana Road,5676.765377440295
2081198517,1639380623,B284,B284,Meddewatte - Kekanadure - Yatiyana,primary,False,60,2,Meddewatte-Kekanadure-Yatiyana Road,3540.1909471532895
2081198517,2081198513,B284,B284,Meddewatte - Kekanadure - Yatiyana,primary,False,60,2,Meddewatte-Kekanadure-Yatiyana Road,5676.765377440288
2081238502,1971685346,B378,B378,Puliyadi - Irakkamam Madu,secondary,False,50,,Puliyadi Irakkamam-Madhu Road,30672.98450834628
2081300475,2590173342,B431,B431,Ulapane - Pussellawa,primary,False,50,2,Ulapane-Pussellawa Road,1878.82962621772
2082247570,3350317932,B17,B017,Ampara Town Roads,primary,False,50,2,Dharmapala Mawatha,767.1018783849073
2082247577,11715848170,B17,B017,Ampara Town Roads,primary,False,50,,Kachcheri Road,8.79925807297105
2083191782,2083191728,B231,B231,Kolonnawa - Gothatuwa - Angoda,primary,True,,,,19.609002822208538
2083588478,245519512,B304,B304,Nagoda - Kalawellawa - Bellapitiya,primary,False,60,2,"['Naragala Bridge', 'Nagoda-Kalawellawa-Bellapitiya Road']",14175.656929120467
2083588478,1796923068,B304,B304,Nagoda - Kalawellawa - Bellapitiya,primary,False,60,2,Nagoda-Kalawellawa-Bellapitiya Road,164.7367317255019
2083588478,1796923216,B68,B068,Ingiriya - Halwatura - Egaloya,primary,False,50,2,Ingiriya-Halwatura-Egal Oya Road,6041.842429137237
2087105380,970090967,B401,B401,Siyambalape - Galwalkada,primary,False,50,,Siyambalape Road,1664.6567828945633
2087105380,3517629552,B632,B632,Sapugaskanda Oil Refinery Junction - Biyagama Free Trade Zone (Samurdhi Mawatha),primary,False,50,2,Biyagama Makola Road,2511.0817699610675
2087105380,7903823164,B632,B632,Sapugaskanda Oil Refinery Junction - Biyagama Free Trade Zone (Samurdhi Mawatha),primary,False,50,2,Biyagama Makola Road,480.56812738479505
2087260972,1797964284,B93,B093,Dehiowita - Deraniyagala - Noori,primary,True,50,1,Dehiowita-Deraniyagala Road,40.01390706264194
2087539072,308865192,B349,B349,Palavi - Kalpitiya,secondary,False,"['40', '50']",,Palavi-Kalpitiya Road,42162.787674432235
2088167963,3210169158,B157,B157,Horana - Anguruwatota - Aluthgama,primary,False,60,2,Matugama Road,744.5339822581296
2088167963,3425048799,B157,B157,Horana - Anguruwatota - Aluthgama,primary,False,60,2,Matugama Road,12634.535879536079
2088167963,2076672978,B114,B114,Elpitiya - Avittawa - Lewwanduwa,primary,False,50,2,"['Elpitiya - Avittawa - Lewwanduwa Road', 'Avittawa Bridge', 'Elpitiya-Avittawa-Lewwanduwa Road', 'Elpitiya-Avittawa Road', 'Avittawa-Ittapana Road']",24127.27685604538
2090006193,1723290053,B549,B549,Embilipitiya - Moraketiya - Kiriibbanara - Uda Mauara,primary,False,72,2,Embilipitiya-Moraketiya-Kiriibbanara-Uda Mauara Road,7877.79743626865
2090006193,1723290267,B549,B549,Embilipitiya - Moraketiya - Kiriibbanara - Uda Mauara,primary,False,72,2,Embilipitiya-Moraketiya-Kiriibbanara-Uda Mauara Road,2655.7145339863305
2091781232,2152938672,B504,B504,Maharagama - Pamunuwa - Thalapathpitiya,primary,False,"['40', '50']","['1', '2']",Pamunuwa Road,2338.7782813298945
2091781232,6006772893,B335,B335,"Old Bazaar Road, Maharagama",primary,True,50,,Old Road,407.0608232840287
2091855950,3705965291,B231,B231,Kolonnawa - Gothatuwa - Angoda,primary,True,50,,Kolonnawa-Angoda Road,26.529010640520475
2091855950,1912538608,B231,B231,Kolonnawa - Gothatuwa - Angoda,primary,False,50,2,Kolonnawa-Angoda Road,3005.231867055278
2093606557,3069813661,B409,B409,Talgodapitiya - Yatawatte - Dombawala,primary,False,60,2,"['Dodangaslanda-Yatawatta-Dombawela Road', 'Talgodapitiya-Dodangaslanda Road']",21523.445566086615
2093606557,7765114184,B346,B346,Palapathwela - Galewela,primary,False,60,2,Palapathwela-Galewela Road,28133.359879485488
2093606557,258049453,B346,B346,Palapathwela - Galewela,primary,False,60,2,Palapathwela-Galewela Road,2419.2259997035367
2093606919,3069813661,B409,B409,Talgodapitiya - Yatawatte - Dombawala,primary,False,60,2,Talgodapitiya-Dodangaslanda Road,5015.677005732344
2093608214,7765114184,B346,B346,Palapathwela - Galewela,primary,False,60,2,Palapathwela-Galewela Road,7.172403665761486
2093608215,3522149870,B423,B423,Tonigala - Kalawewa - Galewela,primary,True,50,*,Kalawewa-Galewela Road,38.6663495604931
2093609890,2638058713,B19,B019,Anamaduwa - Uswewa - Galgamuwa,primary,False,"['70', '50']",2,Anamaduwa - Uswewa - Galgamuwa Road,11555.16534480753
2093609890,5750995617,B19,B019,Anamaduwa - Uswewa - Galgamuwa,primary,False,70,2,Anamaduwa - Uswewa - Galgamuwa Road,8510.960092664107
2093610059,2093610826,B201,B201,Karuwalagaswewa - Miyallewa,secondary,False,70,2,Karuwalagaswewa - Miyallewa Road,19261.592472210086
2093610059,4807150340,B19,B019,Anamaduwa - Uswewa - Galgamuwa,primary,False,70,2,Anamaduwa - Uswewa - Galgamuwa Road,17528.150866642176
2093610059,5750995617,B19,B019,Anamaduwa - Uswewa - Galgamuwa,primary,False,70,2,Anamaduwa - Uswewa - Galgamuwa Road,1376.7658617218497
2093610245,3163956073,B126,B126,Galgamuwa - Nikawewa,secondary,False,50,,Galgamuwa - Nikawewa Road,21122.300424535886
2093610245,615737752,B126,B126,Galgamuwa - Nikawewa,secondary,False,50,,Galgamuwa - Nikawewa Road,3583.4700930367503
2093610245,3336196292,B568,B568,Hurigaswewa Kalankuttioya Siyambalangamuwa,secondary,False,50,,Hurigaswewa - Meegalewa - Siyambalangamuwa Road,14132.756267204726
2093610550,2723880187,B501,B501,Andarawewa - Balaluwewa( Jeya Mawatha ),secondary,False,60,,Andarawewa - Balaluwewa Road,4914.534619096208
2093610550,566569620,B501,B501,Andarawewa - Balaluwewa( Jeya Mawatha ),secondary,False,60,,Andarawewa - Balaluwewa Road,3693.4543481598034
2093610826,2093610059,B201,B201,Karuwalagaswewa - Miyallewa,secondary,False,70,2,Karuwalagaswewa - Miyallewa Road,19261.592472210097
2093611084,3518433775,B213,B213,Kekirawa - Talawa,primary,False,60,,Thalawa Eppawala Road,5449.0874642927665
2093611084,5229420028,B213,B213,Kekirawa - Talawa,primary,False,60,,Thalawa Eppawala Road,1028.8471329245156
2093611607,2840975729,B501,B501,Andarawewa - Balaluwewa( Jeya Mawatha ),secondary,False,"['60', '50']",,Andarawewa - Balaluwewa Road,2419.9489090548172
2093611607,3336196292,B501,B501,Andarawewa - Balaluwewa( Jeya Mawatha ),secondary,False,60,,Andarawewa - Balaluwewa Road,9821.387710496154
2093611941,2093612506,B564,B564,Otappuwa Ihalawewa,secondary,False,60,,Otappuwa - Maragahawewa Road,13806.556587115983
2093611941,2094553959,B501,B501,Andarawewa - Balaluwewa( Jeya Mawatha ),secondary,False,60,,Andarawewa - Balaluwewa Road,1533.025185354748
2093612506,2093611941,B564,B564,Otappuwa Ihalawewa,secondary,False,60,,Otappuwa - Maragahawewa Road,13806.556587115987
2093612778,4884114552,B133,B133,Ganewelpola - Dachchahalmillewa,primary,False,60,,Ganewelpola-Galenbindunuwewa-Dachchahalmillewa Road,46014.30646801859
2093613917,1146591926,B269,B269,Mankulam - Vellankulam,secondary,False,50,,Mankulam-Vellankulam Road,39985.00227423812
2094553959,2093611941,B501,B501,Andarawewa - Balaluwewa( Jeya Mawatha ),secondary,False,60,,Andarawewa - Balaluwewa Road,1533.025185354748
2094553959,2840975746,B501,B501,Andarawewa - Balaluwewa( Jeya Mawatha ),secondary,False,60,,Andarawewa - Balaluwewa Road,4119.677848011781
2094947243,1242786017,B618,B618,Mollipothana - Soorangal,primary,False,60,2,Mullipotana-Soorangal Road,13981.964767157631
2113181192,3145257092,B427,B427,Udawalawe - Tanamalwila,primary,False,72,2,Timbolketiya-Tanamalwila Road,11475.573807376672
2113181192,1723290267,B427,B427,Udawalawe - Tanamalwila,primary,False,72,2,Timbolketiya-Tanamalwila Road,9193.712631968687
2117500121,3150410545,B96,B096,Dematagoda - Wellampitiya,primary,True,50,,Kolonnawa Road,23.234581842622134
2122125311,3340955133,B470,B470,Welikada - Nawala,primary,True,50,2,Nawala Road,80.00874091676673
2131510192,1855296116,B5,B005,Aladeniya - Iriyagama,primary,False,50,2,"['Aladeniya Road', 'Muruthalawa Road']",5329.461575198775
2131864627,3705965291,B96,B096,Dematagoda - Wellampitiya,primary,False,50,2,Weerasingha Mallimarachchi Mawatha (Kolonnawa Road),18.74814181161704
2131864627,2091855950,B231,B231,Kolonnawa - Gothatuwa - Angoda,primary,True,50,,Kolonnawa-Angoda Road,24.9327296052665
2131864627,403816178,B96,B096,Dematagoda - Wellampitiya,primary,False,50,2,Weerasingha Mallimarachchi Mawatha (Kolonnawa Road),593.8323449732534
2131864639,403874820,B96,B096,Dematagoda - Wellampitiya,primary,False,50,2,"['Kolonnawa Road', 'Weerasingha Mallimarachchi Mawatha (Kolonnawa Road)']",843.6783842647727
2131864639,3705965291,B96,B096,Dematagoda - Wellampitiya,primary,False,50,2,Weerasingha Mallimarachchi Mawatha (Kolonnawa Road),350.80738123924056
2131864639,683787618,B232,B232,Kolonnawa - Yakbedde,primary,False,50,2,"['New Kolonnawa Road', 'Gajaba Road', 'Parakumba Mawatha']",2637.938182693525
2141873197,1149576728,B426,B426,Tummodera - Puwakpitiya,primary,False,50,,Tummodara - Puwakpitiya Road,9322.786159876527
2142265829,403899823,B152,B152,Mattakkuliya - Uswetakeiyawa - Pinwattha,primary,False,50,,Canal Road (New Negombo Road),1483.8278107487197
2142265829,6537339897,B152,B152,Mattakkuliya - Uswetakeiyawa - Pinwattha,primary,False,50,,Canal Road (New Negombo Road),2311.911358270492
2143415342,1994843650,B544,B544,Moragolla - Bellana,primary,False,50,2,Moragala-Bellana Road,9866.868820058236
2143415342,3210162496,B158,B158,Horawela - Pelawatte - Pitigala,primary,False,60,2,Horawela-Pelawatte Road,8184.608031382329
2143415342,1146766252,B158,B158,Horawela - Pelawatte - Pitigala,primary,False,60,2,Horawela-Pelawatte Road,7779.005707537279
2145042656,1945604950,B97,B097,Demodera - Spring Valley - Badulla,primary,False,60,2,Demodera-Spring Valley-Badulla Road,21731.908077307016
2145113863,4006801962,B136,B136,Gevilipitiya - Hettimulla,primary,False,60,2,Gevilipitiya-Hettimulla Road,15011.65777659082
2149942832,10180821183,B495,B495,Edandawela - Kahahengama,primary,False,60,2,Edandawela-Kahengama Road,1975.9416582954295
2150213460,5182838447,B130,B130,Galle - Wakwella,primary,True,50,1,Wakwella Road,41.90603949159169
2151603690,2151631685,B265,B265,Malwala - Carney,primary,False,60,2,Ratnapura-Palabaddala Road,14278.526768945962
2151603690,1708362825,B477,B477,Wewelwatte - Agarsland - Uwella,primary,False,60,2,"['Wewelwatte-Agar’s Land-Uwella Road', 'Ratnapura-Wewelwatte Road', 'Balangoda-Rassagala-Uwella Road', 'Malwala Bridge']",43611.09276723173
2151603690,1694691223,B391,B391,Ratnapura - Wewelwatte,primary,False,60,2,Ratnapura-Wewelwatte Road,7173.606553508652
2151631685,2151603690,B265,B265,Malwala - Carney,primary,False,60,2,Ratnapura-Palabaddala Road,14278.52676894597
2152817015,2052447115,B80,B080,Chundikuli - Colombouthurai,secondary,False,"['40', '50']",,"['Thundi Road', 'Beach Road', 'Chundukuli - Colombouthurai']",4585.636983121221
2152922062,1725074556,B286,B286,Middeniya - Panamure,primary,False,50,2,Middeniya-Panamure Road,9779.592845721212
2152922062,2036185335,B286,B286,Middeniya - Panamure,primary,False,50,2,Middeniya-Panamure Road,2310.00192875597
2152922533,2078753314,B98,B098,Denegama - Mulatiyana,primary,False,60,2,Denagama-Mulatiyana Road,1836.7452874876435
2152922533,1932027824,B98,B098,Denegama - Mulatiyana,primary,False,60,2,Denagama-Mulatiyana Road,6497.834486116667
2152938672,2091781232,B504,B504,Maharagama - Pamunuwa - Thalapathpitiya,primary,False,"['40', '50']","['1', '2']",Pamunuwa Road,2338.778281329895
2152938672,255179558,B530,B530,Udahamulla - Thalapathpitiya,primary,False,"['40', '50']",2,"['Temple Road', 'New Hospital Road']",2123.8867067910737
2152975776,1932028416,B565,B565,Walasmulla By Pass,primary,False,60,2,Walasmulla Bypass,371.11442854032043
2152975776,1975353905,B485,B485,Walasmulla - Katuwana - Middeniya,primary,False,60,2,Walasmulla-Katuwana-Middeniya Road,6966.570119272369
2152975776,1931937742,B485,B485,Walasmulla - Katuwana - Middeniya,primary,False,60,2,Walasmulla-Katuwana-Middeniya Road,301.9180628494487
2155579750,4192345643,B400,B400,Seeduwa - Udugampola,primary,False,50,,Seeduwa-Kotugoda Road,1361.5047531118375
2155579905,1370716561,B168,B168,Kadawata - Ragama - Welisara,primary,False,70,4,Welisara-Ragama Road,2144.119064968387
2155580113,1370716561,B382,B382,Ragama - Kandana,primary,False,40,,"['Kandana-Walpola-Tewatta Road', 'Peralanda Road']",3522.692288704433
2155584783,639142096,B597,B597,Kandawala Katunayake,primary,False,"['40', '50']",,"['Minuwangoda Road', 'Baseline Road']",4322.887015650012
2155584793,1269994619,B245,B245,Kurana Road,primary,False,40,,"['Sri Wickrama Rajasinghe Road', ""St. Anne's Road""]",1582.3889265950895
2155584835,403881228,B322,B322,Negombo - Giriulla,primary,False,50,,Negombo-Giriulla Road,1990.5850947899587
2155634710,4087081915,B78,B078,"Chilaw Road, Negombo",primary,True,50,,Chilaw Road,45.536655309337725
2155672282,4207369014,B555,B555,Access road to Getabaru Temple,primary,False,40,2,Getabaruwa Road,1648.4207693909323
2155827769,5258083989,B411,B411,Tawalama - Neluwa - Batuwangala,primary,False,50,2,Neluwa-Dellawa Road,2325.825953350077
2155827775,5258083985,B363,B363,Pelawatta - Kankotayawatta - Tinniyawela - Morawaka,primary,False,60,2,Neluwa-Morawaka Road,22868.44401519778
