u,v,length_m,highway,name,oneway,ref
77368738,3379676395,44.060571699630074,trunk,Colombo Road,True,A2
77373725,77374718,6111.219715842562,primary,Dikwella-Beliatte Road,False,B101
77373725,1530689260,3931.545297093551,primary,Dikwella-Beliatte Road,False,B101
77373725,2157080287,4283.750743811185,secondary,,False,
77374718,2909552257,5006.370897098132,primary,Beliatte-Kirinda Road,False,B630
77374718,3771334922,199.16201110448407,primary,Dikwella-Beliatte Road,False,B101
77374718,77373725,6111.219715842563,primary,Dikwella-Beliatte Road,False,B101
77374761,3592199657,1122.7448142772741,primary,Beliatte-Tangalle Road,False,B141
77374761,3771334922,9.852938599906167,primary,,True,
77379011,1340667695,11499.342150467854,trunk,Matara-Hambantota Road,False,A2
77379011,3960868163,19.925510212326756,trunk,Matara-Hambantota Road,False,A2
77379074,3960797189,15.27669336906111,trunk,Matara-Hambantota Road,True,A2
77379074,3960868163,496.9723444852068,trunk,Matara-Hambantota Road,False,A2
77381284,4365280299,28.69666258752661,trunk,Beragala-Hali-Ela Road,True,A16
77381284,2026106458,155.92811919812365,trunk,Beragala-Hali-Ela Road,False,A16
77512695,49364356,2283.3246660648447,trunk,Badulla-Bandarawela Road,False,A16
77512695,5018474141,126.78346274702972,trunk,Badulla-Bandarawela Road,True,A16
77682074,2637064010,548.9061186696468,primary,Uda Pussellawa Road,False,B332
77682074,2035832311,42.52925229868191,primary,Uda Pussellawa Road,False,B332
77682074,2035832111,38.66858285624459,primary_link,,False,
77682693,2035811429,202.26184497315472,trunk,Queen Elizabeth Drive,False,A5
77682693,49371992,608.4554980877447,trunk,Queen Elizabeth Drive,False,A5
77682693,6720549508,183.78533796468045,primary,Lawson Street,True,B331-4
77684317,3390636008,138.27039407974019,trunk,Badulla Road,False,A5
77684317,3390634865,210.6446165839642,trunk,Badulla Road,False,A5
77684317,198476911,102.3906729357845,primary,Race Course Round Road,False,
77844809,1364596318,428.56555035158715,primary,Dharmawijaya Mawatha,False,AB8
77844809,5018474141,5444.360603624775,trunk,Badulla-Bandarawela Road,False,A16
82800337,1781355217,4316.083999311258,primary,"['Gintota Plywood Factory Road', 'Gintota-Wakwella Road']",False,B138
82800337,1093751150,8627.907151203257,secondary,"['Wakwella - Poddala Road', 'Sri Saranankara Road', 'Sandarawala - Rathgama Road']",False,
82800337,47811685,2184.0855566406253,primary,Galle-Wakwella Road,False,B130
91030247,7153699537,202.43382226570338,trunk,Galle Face Centre Road,True,A2
91030247,12564186527,25.00965603861876,trunk,Lotus Round About,True,
91030442,1280869006,349.44742022794793,primary,Lotus Road,False,AC15
91030442,3825202161,62.59419549075378,primary,Lotus Road,True,AC15
91031447,654159865,976.7360895810647,primary,"['N. H. M. Abdul Cader Mawatha', 'Sea Beach Road']",False,"['AC20', 'AC26']"
91031447,682687439,12.5829631007895,primary,N. H. M. Abdul Cader Mawatha,False,AC20
91032431,324701268,231.7990211678561,secondary,New Moor Street,True,
91032431,3816444773,282.11318779628044,secondary,"['New Moor Street', 'Dam Street']",False,
98554099,1233269765,1127.6640439851278,secondary,Imaduwa Road,False,
98554099,98554144,2551.310207965684,trunk,Deniyaya Road,False,A17
98554099,252541774,8438.220214796665,trunk,Deniyaya Road,False,A17
98554099,3492736839,11269.667251629307,primary,Yakkalamulla-Imaduwa Road,False,B238
98554144,266478204,9799.621242208215,primary,"['Weligama-Welipitiya Road', 'Welipitiya-Kananke Road']",False,B465
98554144,98554769,12228.575767434484,trunk,"['Akuressa Road', 'Deniyaya Road']",False,A17
98554144,98554099,2551.3102079656837,trunk,Deniyaya Road,False,A17
98554769,2164965693,99.23555392430535,trunk,Deniyaya Road,False,A17
98554769,98554144,12228.57576743448,trunk,"['Akuressa Road', 'Deniyaya Road']",False,A17
98554769,1231840453,9075.628777470327,trunk,"['Matara-Akuressa Road', 'Matara Road']",False,A24
102737773,2993960268,39.61124412899264,primary_link,,False,
102737773,102737884,50.55579977530333,trunk,Matara-Hambantota Road,False,A2
102737773,3256396052,39.88064403954145,trunk,Matara-Hambantota Road,False,A2
102737846,3592199657,8712.813464869054,primary,"['Pelapota-Beliatte Road', 'Tangalle-Kurundupokuna Road', 'Kadurupokuna-Pelapota Road']",False,B628
102737846,3592218007,432.4873255749472,trunk,Matara-Hambantota Road,False,A2
102737846,102737884,54.839047166000306,trunk,Matara-Hambantota Road,False,A2
102737884,102737846,54.83904716600031,trunk,Matara-Hambantota Road,False,A2
102737884,102737773,50.55579977530333,trunk,Matara-Hambantota Road,False,A2
102737884,2993960268,32.815439473935875,primary,Circular Road,False,B83
102750184,102750385,392.24121938146675,primary,Hirimbura Road,False,B128
102750184,1619271413,899.4936652410471,secondary,Kalegana - Karapitiya Road,False,
102750184,1242330004,2780.5542557910726,primary,Baddegama Road,False,B128
102750385,50767449,1439.0657590284268,secondary,Kalegana - Karapitiya Road,False,
102750385,31363877,669.2324747488146,primary,Hirimbura Road,False,B128
102750385,102750184,392.24121938146675,primary,Hirimbura Road,False,B128
103396809,1814540652,1553.1827574987992,secondary,New Road,False,
127657312,6234353218,8.22397503108211,primary,Dr. Colvin R. de Silva Mawatha (Union Place),True,
127657418,2034206245,647.9245490332594,secondary,Isipathana Mawatha,False,
127657418,127657445,208.49312650843308,secondary,Fife Road,False,
127657418,5759362469,452.46590635916215,secondary,Fife Road,False,
127657445,127657418,208.49312650843308,secondary,Fife Road,False,
127657445,1792664495,495.4558363802844,secondary,Park Road,False,
127657445,191814403,702.1934969608045,secondary,Park Road,False,
127658062,127658294,601.8424812217203,secondary,Wijerama Mawatha (McCarthy Road),False,
127658062,3185210184,575.8091767780109,primary,Ward Place,False,
127658062,3136338274,368.2109211493366,primary,Ward Place,False,
127658294,10660932931,706.6026630244243,secondary,Wijerama Mawatha (McCarthy Road),False,
