source,target,distance_m,hops
49364356,1732642149,286187.47458401514,100
49364356,1886079221,231270.42852658356,91
49364356,1735981103,348433.39544848516,118
49364356,7042347632,348425.7304910478,117
49364356,1740742111,251383.9050448427,76
49364356,1750869639,91958.24327298572,40
49364356,1783974992,96326.7906379095,24
49364356,10016226413,96318.58126328007,24
49364356,1945675344,62386.59815611627,12
49364356,1797964180,147826.7914004059,65
49364356,4959610635,122353.79669792742,26
49364356,1985676681,125520.74336148772,24
49364356,13749558430,231247.39623483142,90
49364356,4212767857,162520.04288390526,28
49364356,3527283166,36317.36512768454,6
49364356,1981147403,164720.46565571727,61
49364356,2011981296,13431.131462798923,3
49364356,5372968715,191322.00722637423,113
49364356,3794035028,146973.3948861872,60
49364356,3849049820,202135.36412197707,113
49364356,2339297860,174167.65165176537,64
49364356,2339297862,174167.74479616122,64
49364356,6289622879,163391.82130067158,59
49364356,3088508709,130010.89001170178,61
49364356,3088508720,130014.11627083174,61
49364356,3136385191,191378.56869310455,120
49364356,3237363036,268256.5696948976,105
49364356,3237363045,268261.8145339086,107
49364356,4137095171,268242.3212812862,106
49364356,3474422106,400878.272717808,128
49364356,4136824662,400879.8906681789,127
49364356,4137349478,229408.02257535802,112
49364356,6537569535,258833.10577464927,64
49364356,4963408994,184001.3302640533,78
49364356,9513937138,161655.86234592876,68
49364356,4944055508,161666.0942647784,69
49364356,4944055634,161665.12909873747,69
49364356,4963408992,184000.16998587412,78
49364356,6524681176,189233.41706223367,122
49364356,9628046175,189199.36584318808,121
49364356,7042347623,348409.3702057203,116
49364356,8014319682,193646.71425703424,76
49364356,8032417737,221883.31685147702,88
49364356,8032417743,221895.64547855488,89
49364356,8032417746,221897.80332426573,89
49364356,8032417740,221884.52917625065,88
49364356,9568699375,161656.66708488352,68
49364356,11715824035,148744.9753771866,31
59947552,258029156,219152.8723523716,108
59947552,44265234,174797.2753580674,54
59947552,603240642,174871.88749828975,54
59947552,49364356,205137.9142110361,59
59947552,3390634865,246804.43540043538,72
59947552,98554769,32725.458440191695,11
59947552,5693657962,225460.36948521336,129
59947552,310860950,140582.10936688626,40
59947552,8014319683,295860.7990453854,270
59947552,603240427,195880.41323954338,62
59947552,617967952,175203.63820254008,211
59947552,7087535778,175223.53513023778,212
59947552,617968149,186282.81843991062,73
59947552,634172980,409867.72993987,302
59947552,665214512,116390.43843272665,124
59947552,665214513,116444.58804522465,123
59947552,4136824664,466234.1742155817,242
59947552,7599684152,266941.13952752657,258
59947552,6537569534,367487.2113676765,270
59947552,4136824665,466262.51326709246,243
59947552,3174892783,190656.62519812424,218
59947552,1239489717,190666.8714895333,219
59947552,1242694031,369859.1265858546,273
59947552,4139418521,369824.38685726287,272
59947552,2155580115,137357.82253378135,173
59947552,6524681177,116902.62370124702,132
59947552,5217538839,437164.44854897313,305
59947552,7042347620,444624.61482830654,309
59947552,13743364556,335019.6455650886,75
59947552,1684534515,292885.88028112333,78
59947552,11715824040,292890.6119754302,78
59947552,1809805397,206514.2424328836,59
59947552,1728838958,364695.00463508157,299
59947552,7085505934,364674.43355079537,298
59947552,1732642149,373494.62543220434,232
59947552,1886079221,327442.05795797636,281
59947552,1735981103,444605.02487987786,308
59947552,7042347632,444597.3599224405,307
59947552,1740742111,353598.059567125,270
59947552,1750869639,142126.37599893947,26
59947552,1783974992,268807.37263856904,70
59947552,10016226413,268798.6309679476,69
59947552,1945675344,206535.62702969185,60
59947552,1797964180,139892.9958293647,47
59947552,4959610635,294843.77178121073,73
59947552,1985676681,102097.36403507044,48
59947552,13749558430,327426.47589753265,281
59947552,4212767857,335010.01796718856,75
59947552,3527283166,216613.93021531886,57
59947552,1981147403,266934.62017799955,255
59947552,2011981296,218569.04567383503,62
59947552,5372968715,119393.44934063025,141
59947552,3794035028,187547.25307570535,78
59947552,3849049820,137390.1863090488,174
59947552,2339297860,92327.98467727577,73
59947552,2339297862,92315.44517878893,72
59947552,6289622879,265608.2943467633,254
59947552,3088508709,228342.61502923863,123
59947552,3088508720,228345.8412883686,123
59947552,3136385191,119422.86364231588,141
59947552,3237363036,364428.19912629033,295
59947552,3237363045,364433.4439653013,297
59947552,4137095171,364413.9507126789,296
59947552,3474422106,466246.43949682947,243
59947552,4136824662,466248.05744720035,242
59947552,4137349478,306314.123008324,249
59947552,6537569535,367509.0076076829,271
59947552,4963408994,145826.70048012378,192
59947552,9513937138,209473.63337687432,232
59947552,4944055508,209458.13013471762,231
59947552,4944055634,209465.43468155907,232
59947552,4963408992,145837.06618913077,193
59947552,6524681176,116914.3216137339,132
59947552,9628046175,116948.01314963294,133
59947552,7042347623,444580.999637113,306
59947552,8014319682,295860.8687793163,270
59947552,8032417737,323267.3533119087,282
59947552,8032417743,323279.6819389866,283
59947552,8032417746,323281.83978469745,283
59947552,8032417740,323268.5656366823,282
59947552,9568699375,209465.95996185034,231
59947552,11715824035,292894.0042507621,79
3390634865,258029156,67456.69335508737,26
3390634865,44265234,83705.09283271608,25
3390634865,603240642,83640.63632206332,24
3390634865,49364356,53364.45397974735,20
3390634865,59947552,246804.43540043544,72
3390634865,98554769,214078.97696024372,61
3390634865,5693657962,73764.1904879291,47
3390634865,310860950,132755.88047685733,43
3390634865,8014319683,174255.48416761414,82
3390634865,603240427,50924.02216089197,10
3390634865,617967952,112004.5218455933,52
3390634865,7087535778,111984.62491789562,51
3390634865,617968149,94871.1841642188,46
3390634865,634172980,294304.9401529883,118
3390634865,665214512,156358.43246133314,93
3390634865,665214513,156286.26541288913,92
3390634865,4136824664,381474.84708107123,133
3390634865,7599684152,145321.14558080747,66
3390634865,6537569534,245874.18701524727,81
3390634865,4136824665,381503.186132582,134
3390634865,3174892783,105540.36400291925,55
3390634865,1239489717,105547.59840169824,55
3390634865,1242694031,248246.1022334254,84
3390634865,4139418521,248211.36250483364,83
3390634865,2155580115,151375.26147333533,68
3390634865,6524681177,155738.31652422887,89
3390634865,5217538839,321601.6587620914,121
3390634865,7042347620,329061.82504142483,125
3390634865,13743364556,181687.8163140787,25
3390634865,1684534515,187780.89751390522,40
3390634865,11715824040,187775.00615072687,39
3390634865,1809805397,110087.12470781223,30
3390634865,1728838958,249132.21484819983,115
3390634865,7085505934,249111.64376391363,114
3390634865,1732642149,266796.314228526,106
3390634865,1886079221,211879.26817109442,97
3390634865,1735981103,329042.23509299615,124
3390634865,7042347632,329034.5701355588,123
3390634865,1740742111,231992.74468935354,82
3390634865,1750869639,117969.8577924659,36
3390634865,1783974992,115484.93647018286,21
3390634865,10016226413,115476.72709555343,21
3390634865,1945675344,110078.88131587493,30
3390634865,1797964180,109012.91971370498,33
3390634865,4959610635,141511.9425302008,23
3390634865,1985676681,174076.48307553187,36
3390634865,13749558430,211856.23587934228,96
3390634865,4212767857,181678.18871617864,25
3390634865,3527283166,76657.2654474495,25
3390634865,1981147403,145329.30530022812,67
3390634865,2011981296,48205.01668880177,11
3390634865,5372968715,155927.36150842745,91
3390634865,3794035028,93608.94090643986,40
3390634865,3849049820,151353.52866650873,69
3390634865,2339297860,168004.71240597614,91
3390634865,2339297862,168017.251904463,92
3390634865,6289622879,144000.66094518243,65
3390634865,3088508709,76646.4360319544,41
3390634865,3088508720,76649.66229108437,41
3390634865,3136385191,155946.00420966983,91
3390634865,3237363036,248865.40933940854,111
3390634865,3237363045,248870.65417841956,113
3390634865,4137095171,248851.1609257971,112
3390634865,3474422106,381487.112362319,134
3390634865,4136824662,381488.7303126899,133
3390634865,4137349478,210016.86221986887,118
3390634865,6537569535,245895.98325525367,82
3390634865,4963408994,133219.49480858498,34
3390634865,9513937138,108291.40836618136,48
3390634865,4944055508,108301.640285031,49
3390634865,4944055634,108300.67511899007,49
3390634865,4963408992,133218.3345304058,34
3390634865,6524681176,155803.7626105651,88
3390634865,9628046175,155769.71139151952,87
3390634865,7042347623,329018.2098502313,122
3390634865,8014319682,174255.5539015451,82
3390634865,8032417737,202492.15649598787,94
3390634865,8032417743,202504.48512306574,95
3390634865,8032417746,202506.64296877658,95
3390634865,8032417740,202493.3688207615,94
3390634865,9568699375,108292.21310513612,48
3390634865,11715824035,187783.40451195554,40
98554769,258029156,235375.01668341653,105
98554769,44265234,142071.81691787572,43
98554769,603240642,142146.4290580981,43
98554769,49364356,172412.45577084445,48
98554769,59947552,32725.458440191687,11
98554769,3390634865,214078.9769602437,61
98554769,5693657962,241682.5138162583,126
98554769,310860950,141883.00810617144,33
98554769,8014319683,316084.6817989941,130
98554769,603240427,163154.9547993517,51
98554769,617967952,195427.5209561488,71
98554769,7087535778,195447.4178838465,72
98554769,617968149,202504.96277095555,70
98554769,634172980,432485.9790193467,170
98554769,665214512,146368.54881909283,116
98554769,665214513,146422.69843159083,115
98554769,4136824664,496212.2846019478,234
98554769,7599684152,287165.02228113526,118
98554769,6537569534,387711.0941212852,130
98554769,4136824665,496240.6236534586,235
98554769,3174892783,210880.50795173296,78
98554769,1239489717,210890.75424314203,79
98554769,1242694031,390083.0093394633,133
98554769,4139418521,390048.26961087156,132
98554769,2155580115,167335.93292014746,165
